name,full_name,age,club,club_id,league,league_id,height_ft,height_ft_decimal,weight_kg,position,secondary_positions,nationality,preferred_foot,potential,pace,shooting,passing,dribbling,defending,physicality,is_goalkeeper,schema
Igor Julio,Igor Julio,27,West Ham United,19,Premier League,13,"6'1""",6.07,84,CB,"LB, LM",Brazil,Left,78,67.3,44.4,72,67.8,74.8,87.3,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Boga,Jérémie Boga,28,OGC Nice,72,Ligue 1,16,"5'8""",5.64,68,LW,"ST, LM",Côte d'Ivoire,Right,76,85.2,68.7,72,79.4,41,65,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
W. Ndidi,Wilfred Ndidi,28,Beşiktaş JK,327,Süper Lig,68,"6'0""",6,74,CDM,"CM, CAM",Nigeria,Right,76,64.9,74.3,73.8,74.9,74.5,80.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
N. Zaniolo,Nicolò Zaniolo,25,Udinese,55,Serie A,31,"6'3""",6.23,79,RM,"RW, ST",Italy,Left,77,73.8,76.4,73.7,77,60.2,65.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
E. Salvio,Eduardo Salvio,34,Lanús,110395,Liga Profesional de Fútbol,353,"5'8""",5.68,71,RM,"LM, RW",Argentina,Right,76,81.5,72.9,72.1,78.2,61.2,70.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
H. Hajradinović,Haris Hajradinović,31,Kasımpaşa SK,111339,Süper Lig,68,"5'10""",5.84,74,CM,CAM,Bosnia and Herzegovina,Left,76,72,74.5,79.4,75.6,63.9,83,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
R. Nicolaisen,Rasmus Nicolaisen,28,Toulouse FC,1809,Ligue 1,16,"6'3""",6.27,81,CB,,Denmark,Left,78,51.5,47.2,74,70.8,76.5,81.5,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Mateus Fernandes,Mateus Fernandes,20,West Ham United,19,Premier League,13,"5'10""",5.84,72,CAM,CM,Portugal,Right,85,70.3,71.2,77.5,78.6,60.7,64.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Fatawu,Abdul Fatawu,21,Leicester City,95,Championship,14,"5'10""",5.81,73,RM,RW,Ghana,Left,83,83.8,69.6,73.9,76.6,50.1,68.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Diakhaby,Mouctar Diakhaby,28,Valencia CF,461,La Liga,53,"6'2""",6.2,78,CB,,Guinea,Right,78,61.1,46,71,66.4,77.1,78.3,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Ikoné,Jonathan Ikoné,27,Paris FC,111817,Ligue 1,16,"5'9""",5.74,73,RM,RW,France,Left,76,85.2,68.7,72.1,78.3,37.2,59,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
K. Lala,Kenny Lala,33,Stade Brestois 29,378,Ligue 1,16,"5'10""",5.84,78,RB,RM,France,Right,76,75.6,63,74,72.3,72.1,82,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
C. Zesiger,Cédric Zesiger,27,FC Augsburg,100409,Bundesliga,19,"6'4""",6.36,92,CB,,Switzerland,Left,79,72.8,46.6,69,70.5,74,86.7,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
K. Machida,Koki Machida,27,TSG 1899 Hoffenheim,10029,Bundesliga,19,"6'3""",6.23,80,CB,,Japan,Left,76,82.3,39.7,73,70.8,74.3,83,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Rouault,Anthony Rouault,24,Stade Rennais FC,74,Ligue 1,16,"6'1""",6.1,77,CB,,France,Right,81,58.2,34.4,78,73.4,76.5,74.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Thierry Correia,Thierry Correia,26,Valencia CF,461,La Liga,53,"5'9""",5.77,69,RB,"LB, RM",Portugal,Right,79,89.6,43.8,74,73.4,70.7,74,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
S. Pavlović,Strahinja Pavlović,24,AC Milan,47,Serie A,31,"6'4""",6.36,85,CB,,Serbia,Left,83,73.3,34.2,62,72.4,75.1,82.3,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Yeremay,Yeremay,22,RC Deportivo de La Coruña,242,La Liga 2,54,"5'7""",5.58,61,LM,"RM, LW",Spain,Right,84,83.5,70.6,71.2,78.5,24.3,65.6,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
R. Henry,Rico Henry,27,Brentford,1925,Premier League,13,"5'7""",5.58,66,LB,LM,England,Left,76,86.4,43.8,68.4,75.1,74,64.1,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Omualdo Chagas,Omualdo Chagas,33,Atlético Mineiro,1035,Série A,7,"6'2""",6.17,82,CB,,Brazil,Right,76,63.7,35.9,68,62.5,77.8,79.7,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Tanaka,Ao Tanaka,26,Leeds United,8,Premier League,13,"5'11""",5.91,69,CDM,CM,Japan,Right,79,69.7,72.6,76.1,75.7,74.4,74.5,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Lúcio Corteijo,Lúcio Corteijo,33,Botafogo,517,Série A,7,"5'9""",5.74,71,RB,RM,Brazil,Right,76,77,37.3,73.7,67.2,73.9,78,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Andrei Girotto,Andrei Girotto,33,Al Taawoun FC,112393,Pro League,350,"6'1""",6.1,79,CB,,Brazil,Right,76,35.8,60,74,73.5,77.1,79.3,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Lucumí,Jhon Lucumí,27,Bologna,189,Serie A,31,"6'2""",6.14,86,CB,,Colombia,Left,78,66.7,40.2,74,71.8,76.5,78.3,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
C. Uche,Christantus Uche,22,Crystal Palace,1799,Premier League,13,"6'3""",6.23,80,ST,"CAM, CM",Nigeria,Right,84,68.2,75.6,77,76.2,78.9,86,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
D. Man,Dennis Man,26,PSV,247,Eredivisie,10,"6'0""",6,82,RW,RM,Romania,Left,76,92,71.7,70.5,76.3,38,72.7,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
R. Aguilar,Ruben Aguilar,32,RC Lens,64,Ligue 1,16,"5'8""",5.64,69,RB,RM,France,Right,76,66.6,46.2,74.1,74.1,73.3,88.1,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
F. Fattori,Federico Fattori,32,Argentinos Juniors,111019,Liga Profesional de Fútbol,353,"5'10""",5.81,70,CDM,"CM, CB",Argentina,Right,76,62.1,57.9,74.9,71.9,74.5,81.3,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
S. Diop,Sofiane Diop,25,OGC Nice,72,Ligue 1,16,"5'9""",5.74,65,LW,"CAM, LM",Morocco,Right,79,77.1,71.5,76.2,78.7,56,54.7,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
F. Uduokhai,Felix Uduokhai,27,Beşiktaş JK,327,Süper Lig,68,"6'4""",6.33,89,CB,,Germany,Left,78,68.9,35,70,70.5,77.1,79,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Saúl Coco,Saúl Coco,26,Torino,54,Serie A,31,"6'2""",6.14,86,CB,,Equatorial Guinea,Right,79,88.4,32.7,69,65.7,76.4,80.6,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
D. Giannoulis,Dimitris Giannoulis,29,FC Augsburg,100409,Bundesliga,19,"5'9""",5.74,71,LB,LM,Greece,Left,76,83,57.2,71.9,72.5,71.1,89.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
K. Lewis-Potter,Keane Lewis-Potter,24,Brentford,1925,Premier League,13,"5'7""",5.58,67,LB,LM,England,Right,79,77.4,65.3,77.4,75,70.1,79,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Geovany Quenda,Geovany Quenda,18,Sporting CP,237,Primeira Liga,308,"5'8""",5.64,71,RM,"LM, LW, RW",Portugal,Left,88,85.2,68.2,71.7,77.1,35.6,74.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Raúl Moro,Raúl Moro,22,Ajax,245,Eredivisie,10,"5'7""",5.54,67,LW,"RW, LM",Spain,Right,84,83,69.7,72.9,79.9,23,51.3,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
D. van de Beek,Donny van de Beek,28,Girona FC,110062,La Liga,53,"6'0""",6.04,76,CAM,CM,Netherlands,Right,76,58.9,75.8,78,76.4,70.8,65.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
R. Baba,Rahman Baba,30,PAOK,393,Super League,63,"5'11""",5.91,73,LB,LM,Ghana,Left,76,77.4,64.3,70.5,74.9,71.8,81,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Gabriel Pec,Gabriel Pec,24,LA Galaxy,697,Major League Soccer,39,"5'8""",5.64,66,RM,"RW, LW",Brazil,Left,82,88,73.2,66.5,77.3,35.5,84.7,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Juan Miranda,Juan Miranda,25,Bologna,189,Serie A,31,"6'1""",6.07,76,LB,LM,Spain,Left,79,81.7,59.7,78.8,71.3,71.4,73,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
H. Wilson,Harry Wilson,28,Fulham FC,144,Premier League,13,"5'8""",5.68,70,RM,RW,Wales,Left,76,75.5,75,74.9,75.5,50.5,67.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Hermansen,Mads Hermansen,24,West Ham United,19,Premier League,13,"6'1""",6.07,81,GK,,Denmark,Right,81,76,75,76,73.9,50,76,TRUE,DIV|HAN|KIC|REF|SPD|POS
Y. Mvogo,Yvon Mvogo,31,FC Lorient,217,Ligue 1,16,"6'2""",6.2,93,GK,,Switzerland,Right,76,77,76,73,75,42,74,TRUE,DIV|HAN|KIC|REF|SPD|POS
Hugo Álvarez,Hugo Álvarez,21,RC Celta,450,La Liga,53,"5'9""",5.77,72,LM,"RM, LW",Spain,Right,82,72.6,74.2,74.9,76.6,56.7,64.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
D. Lainez,Diego Lainez,25,Free Agent,,,,"5'6""",5.51,58,RM,"CAM, RW",Mexico,Left,77,80.7,70.3,71.9,78.5,55,66.6,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Cooper,Michael Cooper,25,Sheffield United,1794,Championship,14,"6'1""",6.07,75,GK,,England,Right,81,76,74,77,76,54,75,TRUE,DIV|HAN|KIC|REF|SPD|POS
D. Roef,Davy Roef,31,KAA Gent,674,Pro League,4,"6'2""",6.14,84,GK,,Belgium,Right,76,75,73,73,74,50.7,77,TRUE,DIV|HAN|KIC|REF|SPD|POS
R. Schoofs,Rob Schoofs,31,Union Saint-Gilloise,2014,Pro League,4,"5'10""",5.84,69,CM,"CDM, CAM",Belgium,Left,76,42,74,77.1,74.4,70.4,81,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Munetsi,Marshall Munetsi,29,Wolverhampton Wanderers,110,Premier League,13,"6'2""",6.17,83,CM,"CAM, RW",Zimbabwe,Right,76,70,73,76.1,75.8,75,89,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
I. Sissoko,Ibrahima Sissoko,27,VfL Bochum 1848,160,2. Bundesliga,20,"6'4""",6.33,90,CDM,CM,Mali,Right,77,57.5,73.2,75.3,75,73.3,81.1,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
André Silva,André Silva,29,Elche CF,468,La Liga,53,"6'1""",6.07,84,ST,,Portugal,Right,76,72.1,76.3,77.3,76.3,79,76.3,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Zetterer,Michael Zetterer,29,Eintracht Frankfurt,1824,Bundesliga,19,"6'2""",6.14,79,GK,,Germany,Right,77,76,71,81,76.7,41.3,73,TRUE,DIV|HAN|KIC|REF|SPD|POS
M. Uribe,Mateus Uribe,34,Atlético Nacional,101100,Categoría Primera A,336,"6'0""",5.97,78,CM,CDM,Colombia,Right,76,72.2,76.1,77.1,75.1,75.7,70.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
H. Magnetti,Hugo Magnetti,27,Stade Brestois 29,378,Ligue 1,16,"5'8""",5.64,75,CDM,CM,France,Right,78,41.3,67.1,76.2,75.4,72.6,77,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
C. Akpom,Chuba Akpom,29,Ipswich Town,94,Championship,14,"6'1""",6.1,81,ST,,England,Right,76,76.1,77.2,69,73.2,75.7,79,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
G. Isaksen,Gustav Isaksen,24,Lazio,46,Serie A,31,"5'10""",5.84,65,RM,RW,Denmark,Left,79,87.7,74,68.4,77,38.4,73.4,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
S. Nanasi,Sebastian Nanasi,23,RC Strasbourg Alsace,76,Ligue 1,16,"5'10""",5.84,71,CAM,"LM, CM",Sweden,Right,83,71.2,69,77.6,78.4,31.2,63.7,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Brownhill,Joshua Brownhill,29,Al Shabab,111674,Pro League,350,"5'11""",5.91,69,CDM,"CM, CAM",England,Right,76,66.2,75.8,75.5,76.6,73,81.1,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Juan Cruz,Juan Cruz,25,CD Leganés,100888,La Liga 2,54,"5'10""",5.81,72,RM,"LM, RB",Spain,Left,79,78.7,73.4,73.9,76.4,35,58.7,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Kike García,Kike García,35,RCD Espanyol,452,La Liga,53,"6'1""",6.1,79,ST,,Spain,Right,76,42,80.7,75,76.4,78.7,78,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
R. Malinovskyi,Ruslan Malinovskyi,32,Genoa,110556,Serie A,31,"5'11""",5.94,79,CM,"CAM, CDM",Ukraine,Left,76,65.2,78.3,77.6,77.1,67.8,68.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
N. Nández,Nahitan Nández,29,Al Qadsiah FC,112391,Pro League,350,"5'8""",5.64,70,CM,"RB, RM, CAM",Uruguay,Right,76,77,65.3,75.3,77.6,75,89,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Gomes,Adilson Gomes,24,Olympique de Marseille,219,Ligue 1,16,"5'5""",5.45,62,CAM,"CM, CDM",England,Right,81,70.6,70.2,78.5,78.3,72.7,66.6,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Bülter,Marius Bülter,32,1. FC Köln,31,Bundesliga,19,"6'2""",6.17,85,ST,"LM, LW, CAM",Germany,Right,76,79.7,77.8,72,74.8,63.9,77,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Portillo,Juan Portillo,25,River Plate,1876,Liga Profesional de Fútbol,353,"6'0""",5.97,80,CB,"LB, CDM",Argentina,Right,82,77.3,57,74,71.2,73.1,87.3,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Z. Çelik,Zeki Çelik,28,Roma,52,Serie A,31,"5'11""",5.91,78,RB,"RM, CB",Türkiye,Right,76,71.9,54.2,72.1,73.8,73.2,82.1,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Edmilson Junior,Edmilson Junior,30,Free Agent,,,,"5'11""",5.94,71,LW,"RW, LM",Qatar,Right,76,86.8,72.9,70.2,78.4,46,70,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
L. Beltrán,Lucas Beltrán,24,Valencia CF,461,La Liga,53,"5'9""",5.77,76,CAM,"ST, CM",Argentina,Right,81,72,77.7,73.6,76.9,44.5,74,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
F. Israel,Franco Israel,25,Torino,54,Serie A,31,"6'3""",6.23,82,GK,,Uruguay,Right,80,79,71,71,74.6,31,74,TRUE,DIV|HAN|KIC|REF|SPD|POS
B. Soumaré,Boubakary Soumaré,26,Leicester City,95,Championship,14,"6'2""",6.17,82,CDM,"CM, CB",France,Right,78,75.2,63.6,77.3,75.8,71.4,75.5,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
P. Sander,Philipp Sander,27,Borussia Mönchengladbach,23,Bundesliga,19,"6'1""",6.07,77,CDM,CM,Germany,Right,76,66.6,75.8,76.4,76,73.5,67.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Jedlička,Martin Jedlička,27,Viktoria Plzeň,110468,První liga,319,"6'2""",6.14,83,GK,,Czechia,Right,76,74,76,70,75,35,73,TRUE,DIV|HAN|KIC|REF|SPD|POS
Y. Yazıcı,Yusuf Yazıcı,28,Olympiacos FC,280,Super League,63,"6'0""",6,74,CAM,"ST, RM, CM",Türkiye,Left,75,62.9,74.1,76.7,76.9,43.7,70.5,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Pol Fernández,Pol Fernández,33,Godoy Cruz,111706,Liga Profesional de Fútbol,353,"5'10""",5.84,75,CM,"CDM, RM",Argentina,Right,75,69,69,75.9,76.2,69.9,76,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Kinský,Antonín Kinský,22,Tottenham Hotspur,18,Premier League,13,"6'3""",6.23,80,GK,,Czechia,Right,81,76,76,76,72.6,25.3,74,TRUE,DIV|HAN|KIC|REF|SPD|POS
A. Meyer,Alexander Meyer,34,Borussia Dortmund,22,Bundesliga,19,"6'5""",6.4,88,GK,,Germany,Right,75,72,71,79,75.3,41.7,74,TRUE,DIV|HAN|KIC|REF|SPD|POS
A. Dønnum,Aron Dønnum,27,Toulouse FC,1809,Ligue 1,16,"5'10""",5.84,73,RM,"LM, CAM, RW",Norway,Left,75,82.2,68.6,69.5,75.8,46,84.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Mika Mármol,Mika Mármol,24,UD Las Palmas,472,La Liga 2,54,"5'11""",5.94,73,LB,CB,Spain,Left,82,81.6,39.8,66.5,70.4,73.8,75.1,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Joshuando Sá,Joshuando Sá,29,Bahia,1598,Série A,7,"6'0""",5.97,81,LB,"CB, LM",Brazil,Left,75,72.8,47.8,73.1,70.2,74.3,72,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Philogene,Jaden Philogene,23,Ipswich Town,94,Championship,14,"5'10""",5.87,67,LM,"RM, LW",England,Right,81,81.9,72.8,70,76.3,40.1,70.1,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Folorunsho,Michael Folorunsho,27,Cagliari,1842,Serie A,31,"6'1""",6.07,78,CAM,"CM, ST",Italy,Right,75,72.2,75.4,75.9,75.3,71.1,76.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Meza,Maximiliano Meza,32,River Plate,1876,Liga Profesional de Fútbol,353,"5'11""",5.91,75,CM,"LW, RW, LM",Argentina,Right,75,73,73.5,74.4,77.8,70.6,69,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Elildo Petri,Elildo Petri,29,Palmeiras,383,Série A,7,"5'8""",5.64,71,RM,"CAM, RW",Brazil,Right,75,73,68.4,75,77,25.1,61.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
B. White,Brian White,29,Vancouver Whitecaps FC,101112,Major League Soccer,39,"5'11""",5.91,83,ST,,United States,Right,75,76.6,77,55,72.2,73.8,81,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
B. Locko,Bradley Locko,23,Stade Brestois 29,378,Ligue 1,16,"5'11""",5.91,65,LB,LM,France,Left,81,73.6,48.7,70.9,70.7,74.4,67,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Carlos Romero,Carlos Romero,23,RCD Espanyol,452,La Liga,53,"5'11""",5.91,70,LB,"LM, LW",Spain,Left,81,77.3,62.7,73,73.4,70.6,76,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
F. Grillitsch,Florian Grillitsch,29,Sporting Clube de Braga,1896,Primeira Liga,308,"6'2""",6.14,77,CM,"CB, CDM",Austria,Right,75,69,62.6,79.1,76.3,73,64,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
R. Steffen,Renato Steffen,33,FC Lugano,10032,Super League,189,"5'7""",5.58,72,RW,RM,Switzerland,Left,75,83.1,71,74.2,74.1,52,61.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
E. Choupo-Moting,Eric Choupo-Moting,36,New York Red Bulls,689,Major League Soccer,39,"6'3""",6.27,90,ST,CAM,Cameroon,Right,75,59.7,75.5,73,76.2,79.7,80.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
D. Joveljić,Dejan Joveljić,25,Sporting Kansas City,696,Major League Soccer,39,"5'11""",5.94,75,ST,,Serbia,Right,78,76,77.6,66,70.2,75.7,78,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
B. Bouanani,Badredine Bouanani,20,VfB Stuttgart,36,Bundesliga,19,"5'10""",5.81,68,RW,"CAM, RM",Algeria,Left,82,70.7,70,76.2,77.5,33,56.3,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
E. Lepaul,Estéban Lepaul,25,Stade Rennais FC,74,Ligue 1,16,"5'10""",5.81,71,ST,"CAM, CM",France,Right,80,74.8,76.6,69,74.4,71.8,69,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
R. Nelson,Reiss Nelson,25,Brentford,1925,Premier League,13,"5'9""",5.74,70,RM,"LM, RW",England,Right,78,76.6,70,71.5,77.4,37.7,63.8,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Schjelderup,Andreas Schjelderup,21,SL Benfica,234,Primeira Liga,308,"5'9""",5.77,69,LW,"CAM, LM",Norway,Right,83,80.1,68.7,70.4,79,36,62.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Pedro Díaz,Pedro Díaz,27,Rayo Vallecano,480,La Liga,53,"5'11""",5.91,78,CM,"CDM, CAM",Spain,Right,76,64,75.6,76.2,73,70.1,82,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
P. Frankowski,Przemysław Frankowski,30,Stade Rennais FC,74,Ligue 1,16,"5'9""",5.74,70,RB,RM,Poland,Right,75,86.7,70,75,75.7,68.5,78.1,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Hernani,Hernani,31,Parma,50,Serie A,31,"6'2""",6.17,77,CDM,"CM, CAM",Brazil,Right,75,56.9,77.7,74.8,73.6,74.4,72,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Iñigo Vicente,Iñigo Vicente,27,Racing Santander,456,La Liga 2,54,"5'10""",5.84,69,LM,"CAM, LW",Spain,Right,75,80.1,69.8,74.2,73.6,44,74.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Bogle,Jayden Bogle,24,Leeds United,8,Premier League,13,"5'10""",5.84,69,RB,RM,England,Right,79,81.2,52.2,73,72.2,70,80,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Hartel,Marcel Hartel,29,St. Louis CITY SC,113018,Major League Soccer,39,"5'10""",5.81,68,CM,"CAM, LM",Germany,Right,75,71,71.6,77,77.3,51.3,92,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Dênildo Stein,Dênildo Stein,37,Cruzeiro,568,Série A,7,"5'11""",5.91,71,ST,CAM,Brazil,Left,75,75.7,75.5,62,76.6,76.7,69,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
D. Affengruber,David Affengruber,24,Elche CF,468,La Liga,53,"6'1""",6.07,79,CB,,Austria,Right,84,72.1,55.1,71,71.3,74.6,81.2,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Á. Preciado,Ángelo Preciado,27,Sparta Praha,267,První liga,319,"5'8""",5.68,74,RM,"RB, RW",Ecuador,Right,75,87.2,65.6,72.1,74.8,62.5,76.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Rusnák,Albert Rusnák,30,Seattle Sounders FC,111144,Major League Soccer,39,"5'9""",5.74,73,CAM,"CDM, CM",Slovakia,Right,75,73.5,73.5,75.7,75.5,51,62.6,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
D. Mihailovic,Đorđe Mihailovic,26,Toronto FC,111651,Major League Soccer,39,"5'10""",5.84,69,CAM,CM,United States,Right,78,72.7,73.3,76,74.5,58.4,65.6,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Lekue,Lekue,32,Athletic Club,448,La Liga,53,"5'11""",5.91,70,RB,"LB, RM",Spain,Right,75,79,61.2,72.4,72,70.9,81,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
S. El Karouani,Souffian El Karouani,24,FC Utrecht,1903,Eredivisie,10,"5'10""",5.84,68,LB,LM,Morocco,Left,79,70.4,48.3,80.8,74,69.2,77.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Uzuni,Myrto Uzuni,30,Austin FC,114161,Major League Soccer,39,"5'10""",5.84,72,ST,"LW, LM",Albania,Right,75,80.6,74.4,74,77.5,72.7,66,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
T. Marchiori,Tomás Marchiori,30,Vélez Sarsfield,101088,Liga Profesional de Fútbol,353,"6'1""",6.1,84,GK,,Argentina,Right,75,75,73,71,73.6,42,74,TRUE,DIV|HAN|KIC|REF|SPD|POS
F. Neuhaus,Florian Neuhaus,28,Borussia Mönchengladbach,23,Bundesliga,19,"6'1""",6.07,77,CM,"CAM, CDM",Germany,Right,75,79,70.8,77.9,76.4,67,66,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
A. Gallo,Antonino Gallo,25,Lecce,347,Serie A,31,"6'0""",6,73,LB,LM,Italy,Left,78,78.1,53.8,73.7,73.1,70.3,80,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
K. Furuhashi,Kyogo Furuhashi,30,Birmingham City,88,Championship,14,"5'7""",5.58,63,ST,,Japan,Right,75,84.4,77.4,68,75.2,72.8,51,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Danisco Fachini,Danisco Fachini,33,Flamengo,1043,Série A,7,"5'7""",5.54,68,CDM,CM,Brazil,Right,75,65.7,75,74.4,72.3,76.2,72.4,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
I. Bebou,Ihlas Bebou,31,TSG 1899 Hoffenheim,10029,Bundesliga,19,"6'1""",6.07,80,ST,"RW, RM",Togo,Right,75,82.4,76.2,74,77.1,63.8,67.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
K. Walker-Peters,Kyle Walker-Peters,28,West Ham United,19,Premier League,13,"5'8""",5.68,62,RB,"RM, LB",England,Right,75,76,41,74,73.4,70.1,82,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Y. Cathline,Yoann Cathline,22,FC Utrecht,1903,Eredivisie,10,"5'9""",5.77,68,LW,LM,France,Right,84,82.5,73.1,68.5,78,40,60,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
J. Piroe,Joël Piroe,25,Leeds United,8,Premier League,13,"6'1""",6.07,74,ST,,Netherlands,Left,78,64.2,78.3,73,73.5,70.7,77.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
Adrià Pedrosa,Adrià Pedrosa,27,Elche CF,468,La Liga,53,"5'9""",5.77,69,LB,LM,Spain,Left,76,86.9,59.2,71.9,73.5,68,85.9,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
K. Kairinen,Kasper Kairinen,26,Sparta Praha,267,První liga,319,"6'1""",6.07,84,CM,CDM,Finland,Left,75,63,64.8,79,75,71,80,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
M. Bakker,Mitchel Bakker,25,Atalanta,39,Serie A,31,"6'2""",6.2,86,LB,"LM, RM",Netherlands,Left,80,78.7,60.7,73.4,73.1,70.7,82,FALSE,PAC|SHO|PAS|DRI|DEF|PHY
